#r 	ccsd	SVWN	pbe0	pbe	m062x	hse06	m11
5.737409	0.046443	0.043347	0.042291	0.042652	0.041439	0.042296	0.040725
5.756307	0.045510	0.042450	0.041411	0.041775	0.040600	0.041415	0.039837
5.775204	0.044594	0.041569	0.040547	0.040913	0.039776	0.040549	0.038966
5.794101	0.043693	0.040704	0.039698	0.040066	0.038967	0.039699	0.038111
5.813187	0.042809	0.039854	0.038865	0.039235	0.038172	0.038864	0.037273
5.832085	0.041940	0.039020	0.038047	0.038419	0.037392	0.038045	0.036449
5.850982	0.041086	0.038201	0.037244	0.037618	0.036626	0.037241	0.035642
5.869879	0.040247	0.037397	0.036456	0.036832	0.035874	0.036451	0.034849
5.888777	0.039423	0.036608	0.035682	0.036059	0.035135	0.035676	0.034072
5.907863	0.038614	0.035833	0.034923	0.035301	0.034410	0.034915	0.033309
5.926760	0.037820	0.035072	0.034177	0.034557	0.033698	0.034168	0.032561
5.945657	0.037039	0.034325	0.033446	0.033826	0.033000	0.033435	0.031827
5.964555	0.036272	0.033592	0.032727	0.033108	0.032314	0.032716	0.031107
5.983452	0.035520	0.032872	0.032022	0.032404	0.031640	0.032010	0.030401
6.002538	0.034780	0.032166	0.031331	0.031713	0.030979	0.031317	0.029708
6.021436	0.034054	0.031472	0.030652	0.031035	0.030330	0.030637	0.029029
6.040333	0.033341	0.030792	0.029985	0.030369	0.029693	0.029969	0.028363
6.059230	0.032641	0.030124	0.029332	0.029716	0.029068	0.029315	0.027709
6.078128	0.031954	0.029469	0.028690	0.029075	0.028454	0.028672	0.027069
6.097214	0.031280	0.028826	0.028061	0.028446	0.027852	0.028042	0.026441
6.116111	0.030617	0.028195	0.027444	0.027828	0.027261	0.027424	0.025825
6.135008	0.029967	0.027576	0.026838	0.027222	0.026681	0.026817	0.025222
6.153906	0.029329	0.026969	0.026244	0.026628	0.026112	0.026222	0.024630
6.172803	0.028702	0.026373	0.025661	0.026045	0.025553	0.025638	0.024050
6.191889	0.028087	0.025788	0.025089	0.025473	0.025005	0.025066	0.023482
6.210787	0.027484	0.025215	0.024529	0.024912	0.024467	0.024504	0.022925
6.229684	0.026892	0.024653	0.023979	0.024361	0.023940	0.023954	0.022379
6.248581	0.026311	0.024101	0.023440	0.023822	0.023422	0.023414	0.021845
6.267479	0.025740	0.023561	0.022911	0.023292	0.022915	0.022884	0.021321
6.286565	0.025181	0.023030	0.022392	0.022773	0.022417	0.022365	0.020807
6.305462	0.024632	0.022510	0.021884	0.022263	0.021928	0.021856	0.020304
6.324359	0.024093	0.022000	0.021385	0.021764	0.021449	0.021357	0.019811
6.343257	0.023565	0.021500	0.020897	0.021274	0.020979	0.020868	0.019329
6.362154	0.023046	0.021010	0.020418	0.020794	0.020518	0.020388	0.018856
6.381240	0.022538	0.020529	0.019948	0.020323	0.020066	0.019918	0.018393
6.400138	0.022039	0.020058	0.019488	0.019862	0.019623	0.019458	0.017940
6.419035	0.021550	0.019596	0.019037	0.019409	0.019188	0.019006	0.017496
6.437932	0.021070	0.019144	0.018595	0.018966	0.018762	0.018563	0.017062
6.456829	0.020600	0.018700	0.018162	0.018531	0.018344	0.018130	0.016636
6.475916	0.020139	0.018265	0.017737	0.018105	0.017934	0.017705	0.016220
6.494813	0.019687	0.017839	0.017321	0.017688	0.017532	0.017289	0.015812
